Function                                  CPU Time  CPU Time:Effective Time  CPU Time:Effective Time:Idle  CPU Time:Effective Time:Poor  CPU Time:Effective Time:Ok  CPU Time:Effective Time:Ideal  CPU Time:Effective Time:Over  CPU Time:Spin Time  CPU Time:Overhead Time  Module             Function (Full)                                 Source File           Start Address
H5O_msg_read_oh                             0.110s                   0.110s                            0s                        0.110s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5O_msg_read_oh                                 H5Omessage.c          0x3ee1ca     
H5HF__man_insert                            0.109s                   0.109s                            0s                        0.109s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5HF__man_insert                                H5HFman.c             0x30ddfb     
close                                       0.106s                   0.106s                        0.086s                        0.020s                          0s                             0s                            0s                  0s                      0s  libc.so.6          close                                           [Unknown]             0xf0040      
H5O__msg_reset_real                         0.100s                   0.100s                            0s                        0.100s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5O__msg_reset_real                             H5Omessage.c          0x3eeb68     
H5FL__reg_gc_list                           0.100s                   0.100s                            0s                        0.100s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5FL__reg_gc_list                               H5FL.c                0x2764cc     
H5O__chunk_protect                          0.100s                   0.100s                            0s                        0.100s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5O__chunk_protect                              H5Ochunk.c            0x3ab051     
H5VL_set_vol_wrapper                        0.100s                   0.100s                            0s                        0.100s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5VL_set_vol_wrapper                            H5VLint.c             0x6b1576     
H5B2__iterate_node                          0.100s                   0.100s                        0.010s                        0.090s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5B2__iterate_node                              H5B2int.c             0xba166      
H5T__initiate_copy                          0.100s                   0.100s                            0s                        0.100s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5T__initiate_copy                              H5T.c                 0x554278     
H5G_loc_real                                0.100s                   0.100s                            0s                        0.100s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5G_loc_real                                    H5Gloc.c              0x2b4e34     
H5I_object                                  0.100s                   0.100s                            0s                        0.100s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5I_object                                      H5I.c                 0x33f7e6     
