Function                              CPU Time  CPU Time:Effective Time  CPU Time:Effective Time:Idle  CPU Time:Effective Time:Poor  CPU Time:Effective Time:Ok  CPU Time:Effective Time:Ideal  CPU Time:Effective Time:Over  CPU Time:Spin Time  CPU Time:Overhead Time  Module             Function (Full)                                 Source File           Start Address
H5O_close                               0.100s                   0.100s                            0s                        0.100s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5O_close                                       H5Oint.c              0x3d6cba     
H5T                                     0.100s                   0.100s                            0s                        0.100s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5T(float, long double, ..., ...)               H5T.c                 0x556bc1     
H5I_get_type                            0.100s                   0.100s                            0s                        0.100s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5I_get_type                                    H5I.c                 0x33fe49     
H5A__attr_iterate_table                 0.100s                   0.100s                            0s                        0.100s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5A__attr_iterate_table                         H5Aint.c              0x83254      
H5O__msg_alloc                          0.090s                   0.090s                            0s                        0.090s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5O__msg_alloc                                  H5Omessage.c          0x3f40aa     
H5RS_decr                               0.090s                   0.090s                            0s                        0.090s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5RS_decr                                       H5RS.c                0x4b04df     
H5O__move_msgs_forward                  0.090s                   0.090s                            0s                        0.090s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5O__move_msgs_forward                          H5Oalloc.c            0x38ea2f     
H5E_clear_stack                         0.090s                   0.090s                            0s                        0.090s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5E_clear_stack                                 H5Eint.c              0x1d8506     
H5D_open                                0.090s                   0.090s                            0s                        0.090s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5D_open                                        H5Dint.c              0x1881b9     
H5C_insert_entry                        0.090s                   0.090s                            0s                        0.090s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5C_insert_entry                                H5C.c                 0xcd67c      
H5F_decr_nopen_objs                     0.090s                   0.090s                            0s                        0.090s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5F_decr_nopen_objs                             H5Fint.c              0x21b83b     
H5AC__verify_tag                        0.090s                   0.090s                            0s                        0.090s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5AC__verify_tag                                H5AC.c                0x915b2      
H5O_attr_iterate_real                   0.090s                   0.090s                            0s                        0.090s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5O_attr_iterate_real                           H5Oattribute.c        0x39cd38     
H5O_loc_reset                           0.090s                   0.090s                            0s                        0.090s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5O_loc_reset                                   H5Oint.c              0x3db3dd     
H5VL_vol_object                         0.090s                   0.090s                        0.010s                        0.080s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5VL_vol_object                                 H5VLint.c             0x6af4f8     
H5SL_below                              0.090s                   0.090s                            0s                        0.090s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5SL_below                                      H5SL.c                0x5295c7     
H5VL_attr_specific                      0.090s                   0.090s                        0.010s                        0.080s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5VL_attr_specific                              H5VLcallback.c        0x684bfa     
H5MF__fsm_type_is_self_referential      0.090s                   0.090s                            0s                        0.090s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5MF__fsm_type_is_self_referential              H5MF.c                0x369e19     
H5O_msg_is_shared                       0.090s                   0.090s                            0s                        0.090s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5O_msg_is_shared                               H5Omessage.c          0x3f2d7a     
H5A__attr_cmp_name_inc                  0.090s                   0.090s                            0s                        0.090s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5A__attr_cmp_name_inc                          H5Aint.c              0x82611      
H5O__alloc_find_best_null               0.090s                   0.090s                            0s                        0.090s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5O__alloc_find_best_null                       H5Oalloc.c            0x38c7e7     
H5O_attr_decode                         0.090s                   0.090s                            0s                        0.090s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5O_attr_decode                                 H5Oattr.c             0x394775     
