Function                                     CPU Time  CPU Time:Effective Time  CPU Time:Effective Time:Idle  CPU Time:Effective Time:Poor  CPU Time:Effective Time:Ok  CPU Time:Effective Time:Ideal  CPU Time:Effective Time:Over  CPU Time:Spin Time  CPU Time:Overhead Time  Module           Function (Full)                                       Source File           Start Address
H5MF__sect_simple_can_shrink                   0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5MF__sect_simple_can_shrink                          H5MFsection.c         0x36ff59     
func@0x25350                                   0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libnetcdf.so.18  func@0x25350                                          [Unknown]             0x25350      
H5FD_sec2_write                                0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5FD_sec2_write                                       H5FDsec2.c            0x2716af     
H5PB_write                                     0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5PB_write                                            H5PB.c                0x4924ac     
H5S__extent_release                            0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5S__extent_release                                   H5S.c                 0x4b2184     
H5P__cmp_class                                 0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5P__cmp_class                                        H5Pint.c              0x4711f6     
H5C_verify_entry_type                          0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5C_verify_entry_type                                 H5Cdbg.c              0xfa722      
H5HF__cache_dblock_notify                      0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5HF__cache_dblock_notify                             H5HFcache.c           0x2edddf     
H5G_dense_btree2_corder_encode                 0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5G_dense_btree2_corder_encode                        H5Gbtree2.c           0x299777     
H5O__chunk_serialize                           0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5O__chunk_serialize                                  H5Ocache.c            0x3a8b90     
H5G_name_free                                  0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5G_name_free                                         H5Gname.c             0x2baf07     
H5I_object                                     0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5I_object                                            H5I.c                 0x33f7e6     
H5P__peek_cb                                   0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5P__peek_cb                                          H5Pint.c              0x4737b0     
H5P_peek                                       0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5P_peek                                              H5Pint.c              0x473ad3     
H5SL_create                                    0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5SL_create                                           H5SL.c                0x50e469     
H5G_obj_insert                                 0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5G_obj_insert                                        H5Gobj.c              0x2c49ff     
var_free                                       0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libnetcdf.so.18  var_free                                              [Unknown]             0xdf8e9      
ftruncate                                      0.011s                   0.011s                            0s                        0.011s                          0s                             0s                            0s                  0s                      0s  libc.so.6        ftruncate                                             [Unknown]             0xf75c0      
func@0x4f110                                   0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   func@0x4f110                                          [Unknown]             0x4f110      
H5Z_prepare_prelude_callback_dcpl              0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5Z_prepare_prelude_callback_dcpl                     H5Z.c                 0x6d6942     
H5O_unprotect                                  0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5O_unprotect                                         H5Oint.c              0x3d8e0c     
H5F_get_low_bound                              0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5F_get_low_bound                                     H5Fquery.c            0x226cc2     
func@0x4f1b0                                   0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   func@0x4f1b0                                          [Unknown]             0x4f1b0      
H5D__new                                       0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5D__new                                              H5Dint.c              0x1828da     
H5HF_hdr_fuse_decr                             0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5HF_hdr_fuse_decr                                    H5HFhdr.c             0x2faed6     
nc_utf8proc_decompose_custom                   0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libnetcdf.so.18  nc_utf8proc_decompose_custom                          [Unknown]             0x466a9      
H5AC__verify_tag                               0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5AC__verify_tag                                      H5AC.c                0x915b2      
H5P__set_pclass_cb                             0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5P__set_pclass_cb                                    H5Pint.c              0x46ebc5     
H5G_dense_btree2_corder_compare                0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5G_dense_btree2_corder_compare                       H5Gbtree2.c           0x2995e5     
H5O_loc_reset                                  0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5O_loc_reset                                         H5Oint.c              0x3db3dd     
var_create_dataset                             0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libnetcdf.so.18  var_create_dataset                                    [Unknown]             0x808a1      
H5HF_insert                                    0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5HF_insert                                           H5HF.c                0x2d825c     
