Function                                  CPU Time  CPU Time:Effective Time  CPU Time:Effective Time:Idle  CPU Time:Effective Time:Poor  CPU Time:Effective Time:Ok  CPU Time:Effective Time:Ideal  CPU Time:Effective Time:Over  CPU Time:Spin Time  CPU Time:Overhead Time  Module             Function (Full)                           Source File           Start Address
H5O__attr_free                              0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5O__attr_free                            H5Oattr.c             0x3960dc     
H5F_addr_decode                             0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5F_addr_decode                           H5Fint.c              0x21c8d2     
H5HF__cache_iblock_notify                   0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5HF__cache_iblock_notify                 H5HFcache.c           0x2e9f3a     
H5O__layout_decode                          0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5O__layout_decode                        H5Olayout.c           0x3e0c04     
read_hdf5_obj                               0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libnetcdf.so.18    read_hdf5_obj                             [Unknown]             0x8ed34      
func@0x4e4e0                                0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     func@0x4e4e0                              [Unknown]             0x4e4e0      
H5CX__pop_common                            0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5CX__pop_common                          H5CX.c                0x12bf01     
H5O_ainfo_copy                              0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5O_ainfo_copy                            H5Oainfo.c            0x3856bb     
H5F_rdcc_nslots                             0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5F_rdcc_nslots                           H5Fquery.c            0x2286ef     
H5O__attr_find_opened_attr                  0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5O__attr_find_opened_attr                H5Oattribute.c        0x39a116     
H5VL__attr_specific                         0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5VL__attr_specific                       H5VLcallback.c        0x6848d7     
H5P__dapl_vds_file_pref_close               0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5P__dapl_vds_file_pref_close             H5Pdapl.c             0x4134d7     
